Document Number,Sl_no,Question,Question_Type
28,11,"What is the main function of a knowledge broker in SUN movement, as mentioned by David Pelletier? (Select one: staff here are many donors, staff here are few and small foundation)",Factual
28,12,Which three organizations does David's society work with for its knowledge function?,Factual
28,13,What is the name of the organization that SUN movement country secretariat in Geneva sends out a quarterly newsletter to? (Select one: UNICEF or World Bank),Factual
28,14,"According to David, what type of document does he expect from the permanent secretaries?",Factual
28,15,"Which country was criticized for its approach in the Scaling Up Nutrition (SUN) movement in 2008? (Select one: Vietnam, Bangladesh or Ethiopia)",Factual
28,16,What are the three types of knowledge functions mentioned by David for implementation and planning of an intervention?,Summary
28,17,"What are the two main components that make up a country's capacity to implement, in the view of David Pelletier? (Select one: number and skill level, only number or only skill level)",Summary
28,18,What is the most important aspect that David considers as a knowledge broker in the country level?,Explanation
28,19,"How do the permanent secretaries decide the budget for their departments, according to David Pelletier? (Select one: they meet monthly but are poorly planned, moderately and not decision-orientated or they have no meetings but only twice a year)",Explanation
28,20,Why does David think that the country's capacity to implement an intervention is more important than knowing what kind of interventions are in place?,Factual
29,1,What is the focus of David Pelletier's staff when it comes to assessing the context of implementation?,Factual
29,2,How much time does the staff spend assessing and understanding the context of implementation?,Factual
29,3,"What is another factor that affects the community, according to David Pelletier's observation?",Factual
29,4,What are the two types of staff required to effectively implement something at the country level?,Factual
29,5,"Who do the knowledge brokers need to network into, according to David Pelletier's observation?",Factual
29,6,What is the name of the movement that involves 57 countries and has SUN secretariat in Geneva?,Factual
29,7,"Which country, according to David Pelletier's observation, has a ministry for nutrition but it is not the health ministry?",Factual
29,8,How often do the permanent secretaries meet to take policy decisions?,Factual
29,9,"What level of planning are the monthly meetings and the two-yearly meetings with the permanent secretaries, according to David Pelletier's observation?",Analytical
29,10,"What is the purpose of convening government people from various sectors as well as different partner organizations in a country, as described by David Pelletier?",Summary
29,11,"Why does David' staff need to give them the confidence to do that, according to his observation?",Explanation
29,12,"What is an important process of the permanent secretaries, as described by David Pelletier?",Summary
29,13,Who was the leader in the Scaling Up Nutrition movement that had 2-year case studies to document its work?,Factual
29,14,"What is the purpose of the 'war room' where David's staff need to go, according to his observation?",Explanation
29,15,"In which country does the multi- sectoral committee that meets monthly with technical staff meet, as described by David Pelletier?",Factual
29,16,How often do the permanent secretaries take policy decisions?,Factual
29,17,"Why did some of the sector secretaries start creating working groups for nutrition within their own ministries, as described by David Pelletier?",Explanation
29,18,"Who chairs the nutrition working group that was created by some of the permanent secretaries in their own ministries, according to David Pelletier's observation?",Factual
29,19,What is one method of sharing information with the SUN secretariat in Geneva?,Factual
29,20,"Why does David think the governments do not pull down the global knowledge to their country level, as described by him?",Explanation
30,1,What is the purpose of the Breeding Program Assessment Tool (BPAT)?,Factual
30,2,The BPAT assessment process brings what numerous benefits to institutions?,Factual
30,3,What are the components of a typical EIAr strategic plan?,Factual
30,4,How can the EiAR Director General and other internal auditors work with the suggested locations to drive delivery of initiatives?,Factual
30,5,What is the main focus for the development and testing with experienced breeders and pilot visits to five institutions at various dates for the BPAT process?,Summary
30,6,What are the three main columns of the BPAT framework for plant breeding projects?,Summary
30,7,What is the purpose of a program impact assessment in the context of BPAT?,Explanation
30,8,How can one determine if an institution's bread wheat or chickpea programs meet its goals? Why is this important to donors and other key stakeholders?,Comparison
30,9,What are the potential benefits of using the BPAT process for institutions?,Explanation
30,10,What is the most significant factor that drives a public sector breeding program's ability to achieve higher rates of genetic gain? Why is this important to donors and other key stakeholders?,Factual
30,11,What are some of the benefits that institutions can expect from using the BPAT process for public sector breeding programs?,Explanation
30,12,"In your own words, what is the main focus for the development and testing with experienced breeders and pilot visits to five institutions at various dates for the BPAT process?",Summary
30,13,What are some of the benefits that institutions can expect from using the BPAT process for public sector breeding programs? Why is it important to have a well-defined process like BPAT in place before a large programmatic initiative begins?,Explanation
30,14,What are some of the benefits that institutions can expect from using the BPAT process for public sector breeding programs? Why is it important to have an assessment process like BPAT in place before a large programmatic initiative begins?,Explanation
30,15,How do you see the development and testing of the BPAT process by experienced breeders and pilot visits to five institutions at various dates impacting the development of public sector breeding programs? Why is this important for donors and other key stakeholders?,Summary
30,16,What are some of the factors that drive a public sector breeding program's ability to achieve higher rates of genetic gain? What is the impact on donors and other key stakeholders?,Factual
30,17,Why do you think the BPAT framework for plant breeding projects are important?,Summary
30,18,What is the main focus of EIAr's strategic planning? Why is this important to donors and other key stakeholders?,Factual
30,19,How can one use information about the BPAT process in order to drive delivery of initiatives for a public sector breeding program? What is the main focus for the development and testing with experienced breeders and pilot visits to five institutions at various dates?,Summary
30,20,What are some of the factors that drive a public sector breeding program's ability to achieve higher rates of genetic gain? Why is this important for the donors and other key stakeholders?,Factual
31,1,What is the primary purpose of the 'Data CODING' process?,Factual
31,2,How are data from different qualitative research instruments categorized in this step?,Factual
31,3,What is the purpose of tagging and coding data with words or short phrases that describe participant feedback on topics addressed by the discussion guide?,Factual
31,4,"What are some adjectives characterizing participants' views of usefulness, clarity, tone and style, order/ logic, comparable resources, specific resources and additional resources?",Factual
31,5,How do data from qualitative research instruments get categorized in this step?,Factual
31,6,What are some distinctive participant sentiments with respect to the topic of 'Topics addressed in discussion guide' and what is their explanation for these feelings?,Analytical
31,7,What are the topics addressed by the discussion guide?,Factual
31,8,How do participants view the order/logic of this content section?,Analytical
31,9,What is the purpose of 'Sorting' in this step?,Factual
31,10,How are tags/codes from data coding for occurrences sorted to get a high level sense of most often repeated data points?,Factual
31,11,What is the primary goal of this step 'Sorting'?,Factual
31,12,How are data within top patterns shared sorted and what are some consistent trends that characterize these patterns identified in this step?,Analytical
31,13,What is the purpose of creating quick phrases to describe core sentiment for each pattern?,Factual
31,14,What do persistent outliers have that is different from the focus of this research and what are their potential implications or value?,Analytical
31,15,What is the purpose of the 'External REVIEW' session in this process? How does it support the team's efforts to analyze the context?,Factual
31,16,How do data patterns relate to other data sets?,Analytical
31,17,What are the main steps of the 'Data Analysis' process in this context?,Summary
31,18,What does this 'Exemplars Data Synthesis Process' guide for? What is it used to do?,Summary
31,19,How can the 'Data Analysis Structure' be applied to other content testing research projects?,Factual
31,20,What are the goals and objectives of this process in general? What is its purpose? How does it help users with their own needs?,Summary
32,1,What type of infections are chronic viral infections?,Factual
32,2,How has Gilead built expertise in the discovery and development of antiviral nucleoside and nucleotide analogs to target viral RNA polymerases?,Factual
32,3,What are the three main categories of viruses that have been approved with Gilead's expertise in the discovery and development of antiviral nucleoside and nucleotide analogs to target viral RNA polymerases?,Factual
32,4,What does the timeline indicate?,Factual
32,5,"Why is GS-5734 intended for future emergency use and clinical testing, as well as to enable a 30-minute infusion?",Factual
32,6,What is the purpose of the image 'Summary'?,Summary
32,7,What do the two main groups in the diagram labeled 'Summary' indicate?,Factual
32,8,"How is GS-5734 used to treat acute viral infections, as well as chronic ones?",Summary
32,9,What are the two main categories of antiviral drugs that have been approved with Gilead's expertise in the discovery and development of antiviral nucleoside and nucleotide analogs to target viral RNA polymerases?,Summary
32,10,"Why has Gilead built expertise in the discovery and development of antiviral nucleoside and nucleotide analogs that has provided a platform for successful regulatory approval of multiple antiviral products widely used for the treatment and prevention of chronic viral infections including HIV, HBV, and HCV?",Summary
32,11,What are the three main groups of viruses that have been identified as being all RNA viruses?,Factual
32,12,Why is the diagram labeled 'Different Chemical Forms in the Same Class'?,Summary
32,13,"What does Gilead's experience with clinical development of multiple antiviral products widely used for the treatment and prevention of chronic viral infections including HIV, HBV, and HCV suggest about Gilead?",Summary
32,14,What is the purpose of this image 'Gilead Antiviral Program on Emerging and Neglected Viruses'?,Factual
32,15,How do antivirals target viral RNA polymerases to inhibit their activity?,Explanation
32,16,What are the different types of viruses that have been identified as being all RNA viruses?,Factual
32,17,How do antiviral nucleosides and nucleotides target viral RNA polymerases to inhibit their activity?,Explanation
32,18,What are the differences between the two main groups in the diagram labeled 'Different Chemical Forms in the Same Class'?,Factual
32,19,"How can GS-5734 be used to treat acute infections, as well as chronic ones?",Explanation
32,20,What do the two diagrams on 'ATP (substrate)' and 'ATP analog (inhibitor)' represent in the context of the mechanism of action of GS-5734,Factual
33,1,What is the significance of the phrase 'Fostering Value through Innovation' as the company's slogan?,Inference
33,2,Why do you think the logo 'Cerbios' is placed at the bottom left corner of the image?,Factual
33,3,In how many countries does CEP have a global presence as mentioned in this context,Factual
33,4,"What are HPAI class 3 and 4 Safebridge ADC payloads, which fall under the category of small molecules?",Explanation
33,5,Where is Cerbios SA based as mentioned in this context,Factual
33,6,Which international regulatory agency does the US-DMF approval from 1998 imply compliance with?,Inference
33,7,"In how many countries does CEP have a presence, according to this context? Why do they have it in so many countries",Factual
33,8,What is the main focus of Cerbios' development and manufacturing services for APIs?,Factual
33,9,"What does 'cGMP certified by Swissmedic' imply, according to this context?",Factual
33,10,"What is the purpose of a map in the visual representation, according to this context",Inference
33,11,What are some of the certifications mentioned as company credentials?,Summary
33,12,Who does 'Who We Are' tagline represent for Cerbios? Why is it a suitable choice as their slogan,Inference
33,13,"Which country agency is approved since 2006 in this context, and what does its approval imply?",Factual
33,14,What do the numbers next to the icons on the world map represent for Cerbios? Why are they placed there,Inference
33,15,Who is responsible for medicinal products in Switzerland as mentioned in this context?,Factual
33,16,"What does 'Facts and Figures' at the top of the image likely refer to, according to you?",Summary
33,17,Why do you think a blue arrow is pointing rightward at the bottom left corner of this image,Factual
33,18,What does 'Known Consignor' mean in this context? What is it related to?,Inference
33,19,"In which countries does Cerbios have a presence, according to this context? In how many years of experience do they have",Factual
33,20,What are the three main groups of therapeutic agents developed by Cerbios CDMO as mentioned in this context?,Inference
34,1,Who overuses the ED?,Factual
34,2,What causes ED overuse and what can be done to reduce it.,Explanation
34,3,What are some of the strategies to curb ED overuse?,Summary
34,4,Who overuses the Emergency Department?,Factual
34,5,What causes ED overuse and what can be done to reduce it?,Explanation
34,6,What is a matter of urgency- Reducing emergency department overuse_Overview_03012010:NEHIA Matter of Urgency: Reducing Emergency Department Overuse\New England Healthcare Institute\A NEHI Research Brief - March 2010\Research Findings\The overuse of U.S. emergency departments (EDs) is responsible for $38 billion in wasteful spending each year.,Factual
34,7,What can be done to reduce the overuse of U.S. emergency departments (EDs)?,Application
34,8,Who is responsible for the overuse of the U.S. emergency departments (EDs)?,Factual
34,9,What are some strategies to curb ED overuse?,Summary
34,10,What are the root causes of ED overuse?,Explanation
34,11,What is one of the consequences of ED overuse?,Application
34,12,Why is it urgent to reduce emergency department overuse?,Factual
34,13,Who are some of the drivers that lead to non-urgent visits in the emergency care?,Summary
34,14,What is the estimated annual cost of ED overuse?,Factual
34,15,What drives the crisis in primary care?,Summary
34,16,Why do some people believe that emergency department use is solely the result of poor and uninsured flooding EDs for non-urgent health needs; NEHI's research found that this is far from the truth; these populations are only a small subset of the overall problem.,Factual
34,17,What drives the crisis in primary care?,Summary
34,18,Who do many patients have little access to timely primary care services?,Factual
34,19,How is the emergency department used for non-urgent care and ED care?,Summary
34,20,What are some of the consequences of ED overuse?,Application
35,1,Which foundation is funding or supporting the TB Drug Accelerator program?,Factual
35,2,What was the primary focus of the presentation this slide came from?,Factual
35,3,When does the timeline for the TB Drug Accelerator program begin?,Factual
35,4,What was the purpose of the semi-annual meeting scheduled for October 22-23 in this particular year?,Factual
35,5,Which disease area has the highest priority according to the information on this slide?,Factual
35,6,"What is the name of the organization that funded or supported the TB Drug Accelerator program in 2013, when the slide was created?",Factual
35,7,"What are the five new preclinical candidates that must be reached by the end of 2021, according to this timeline?",Factual
35,8,What are the two main areas where funding or support is provided to researchers through the TB Drug Accelerator program in its early stages? (Note: The answer may be implied.),Factual
35,9,In which year will a five-year period for advancing drug candidates begin and end according to this timeline?,Factual
35,10,"Who provides support for the NIAID, one of the supporting institutions mentioned in the slide at the bottom?",Factual
35,11,What is the first step in the research process described on this flowchart?,Explanation
35,12,Describe how the pharmaceutical companies are involved in the TB Drug Accelerator program.,Explanation
35,13,"Why is it important to have a right target, right compound, and right dose as mentioned at the bottom of this slide?",Explanation
35,14,What are the four main scopes that make up the flowchart in this diagram?,Summary
35,15,In what order should one go to look for information when trying to find specific details about the TB Drug Accelerator program?,Application
35,16,What is the main point of this slide from the title and content? (Note: The answer may be implied.),Summary
35,17,"Identify two key groups that have a role to play in the flow of research, according to this diagram.",Factual
35,18,Which disease area is expected to achieve more progress with the GHDA's focus on the quality and quantity of drug candidates than others?,Comparison
35,19,"How does the TB Drug Accelerator program fit into a larger effort for global health, as implied by the presence of the Bill & Melinda Gates Foundation logo?",Application
35,20,What is the goal for the five-year period that will end in 2021 according to this timeline? (Note: The answer may be implied.),Summary
36,1,What is the title of the presentation that John Rogers presented at the Connected Healthcare Global Good/Gates Foundation Collaboration meeting?,Factual
36,2,Who are Louis Simpson and Kimberly Querry?,Factual
36,3,What is the name of the directorship that Louis Simpson holds at Simpson Querrey Institute,Factual
36,4,What is the name of the professorship held by John A. Rogers at Simpson Querry Institute?,Factual
36,5,Why are conventional hardware for wearables criticized in this presentation?,Analytical
36,6,"What is the main purpose of having a precision, intimate skin interface as mentioned in the slide 'Conventional Hardware for Wearables'?",Factual
36,7,How do smartwatches and fitness trackers interact with the user's body?,Factual
36,8,What is an example of a measurement that a sweat sensor could record?,Application
36,9,"Who is the author of the paper titled 'Science 333, 838 (2011)' mentioned in this context?",Factual
36,10,What type of data does an epidermal electronics device record?,Application
36,11,"How is the 'Multimodal, Clinical Quality Data' device used in this context? Where and how does it collect its data?",Summary
36,12,What are the three main areas of measurement for clinical standard that the slides are trying to correlate with using epidermal electronics,Factual
36,13,Who is the author of the presentation titled 'Clinical Standard Measurements via Skin Interface'?,Factual
36,14,What are the three main clinical measurements that are being compared in this context? What are the devices used for these measurements?,Summary
36,15,"Which part of the presentation 'Clinical Standard Measurements via Skin Interface' is shown with photographs and graphs, and what do they represent?",Factual
36,16,What are the three main clinical measurements that are being compared in this context? What are the devices used for these measurements?,Summary
36,17,Who is the author of the study titled 'Quantitative Correlation to Clinical Gold Standards' and how does it compare clinical standard data with battery-free epidermal data?,Summary
36,18,"How can the ECG waveform in the slide 'Wireless ECG Data, Comparison to Clinical Standards' be interpreted? What is its importance in this context?",Analytical
36,19,What are the main areas of measurement for epidermal electronics as mentioned in this slide 'Measurement Capabilities in Epidermal Electronics'?,Factual
36,20,How can the graph in the slide be used to compare between clinical and battery-free ECG data? What does it suggest?,Analytical
37,1,What is the name of the organization where SWEDD workshop was held?,Factual
37,2,Which region is the focus area for the 22 project? Why?,Inference
37,3,"What are the two objectives of the composite 2 of the 22 project on SWEDD and the actual SWEDD workshop held on January 18-22, 2016?",Factual
37,4,What is the primary goal of the second objective of the 22 project?,Inference
37,5,Who are the representatives who presented letters on behalf of their countries for SWEDD? Why do they need to contribute to SWEDD efforts?,Analytical
37,6,What is the name of the document that the SWEDD workshop 2016 aims to achieve and what are its expected outcomes?,Factual
37,7,Why do countries need to prioritize the development of a plan strategic for SMMN as part of their efforts towards addressing the SMRN challenges? What is the significance of this effort?,Evaluation
37,8,"What are the four areas where countries should focus on in order to address the problems critical to the supply of products for SMN, INF and N? Why are these the most important ones?",Inference
37,9,How can the performance be evaluated and monitored across all the SMMN? How do you evaluate your own performance?,Factual
37,10,"What are the ways to ensure that adequate information is provided for data collection, analysis and processing of information?",Explanation
37,11,What are some possible funding mechanisms for SMMN? What does this do to address the problems critical to the SMN challenges?,Evaluation
37,12,"How is information adequately provided in the context of data collection, analysis and processing for SWEDD efforts? Are there any gaps that would hinder its implementation?",Inference
37,13,What are the two types of issues to be addressed when it comes to SMMN challenges in a region? Why are these two approaches necessary?,Analytical
37,14,Why is there a need to have a strategic plan for the SMN supply chain and what are some of the required resources that would be needed? What do you think will be the major challenges in implementing this plan?,Factual
37,15,What is the expected outcome from the SWEDD regional monitoring framework for SMN supply chain as a result of the efforts and contributions made by the countries? What do you think is more important?,Inference
37,16,Why are these five areas most important when it comes to addressing SMN challenges in a region? How would they contribute to improving the regional performance of SMMN?,Evaluation
37,17,"What is the role of the four key areas in identifying and prioritizing problems that are critical to the products supply chain of SMN, INF and N? What should happen if the four areas are well addressed?",Explanatory
37,18,"Why would one be surprised about not getting adequate information for data collection, analysis and processing in SWEDD efforts? Why is this important to address SMN challenges?",Inference
37,19,"What are the two categories of problems that need to be addressed when it comes to the supply chain products for SMN, INF and N? Why are they critical in this regard?",Factual
37,20,How would you rate the availability of quantitative and qualitative data in a region as important for improving the performance of SMMN compared to other indicators that one may use to evaluate the performance of the supply chain products? What is your evidence?,Inference
38,1,Why is it important for the Global Health Delivery Strategy team to discuss the case of paromycinomy in India?,Explanation
38,2,What is one reason why Paromyciny is not being used as a treatment for Visceral Leishmaniasis despite being approved by the DCGI in August 2006? Why did this lead to some management programs including paromycin in their case studies?,Explanation
38,3,What was the reason why Paromyciny was added to Janani's case study for Visceral Leishmaniasis treatment guidelines in India? Why did this lead to a delay in the use of Paromycin as a drug,Explanation
38,4,What is the current level of fully immunized child coverage in Bihar state in India?,Factual
38,5,Who requested that a first-year treatment plan for visceral leishmaniasis not be included yet in the NWCBD treatment clinic guidelines? What was this for?,Explanation
38,6,What is the reason why ParomycinCy has been incorporated by some management programs? What has been the outcome of these requests in India? Why did this happen after a five-year gap from approval by the DCGI?,Factual
38,7,Why was Paromyciny chosen as the delivery platform for visceral Leishmaniasis treatment despite having a high level of Vl disease in Bihar state in India? What has changed regarding this option recently?,Explanation
38,8,What is the reason why there is no non-governmental alternative to the public health system for patients with visceral Leishmaniasis in a country where 80% of the burden exists?,Factual
38,9,Why is it difficult to launch new tools being developed for use in India due to the complexity of the Indian regulatory process and its requirements? What does this mean for the uptake of Paromyciny,Explanation
38,10,What are the five major barriers to delivery that were identified by the Scoping team? What is the name of the technology being discussed in a particular case study?,Summary
38,11,What is the main reason why Paromyciny was not adopted as first line therapy for visceral Leishmaniasis despite being approved by the DCGI and taken five years to reach this position? What is another drug that has gone through a similar process in India?,Explanation
38,12,"What are some of the reasons why the foundation has relied on others to address delivery from PDP grants, to Ministries of Health and the WHO? Is this approach sufficient to address the magnitude of the problem?",Factual
38,13,How would the global best practice in the adoption and uptake of new health technologies be documented by the Global Health Delivery Strategy team? What are some key steps that could be taken to achieve this goal?,Evaluation
38,14,What are some management and technology innovations that could further enhance the effectiveness of delivery platforms? Why is it important for the global best practice in the adoption and uptake of new health technologies to be documented by the Global Health Delivery Strategy team?,Explanation
38,15,How did the Scoping team determine that there were poor regulatory processes and delays in getting a drug approved? What are the other reasons for the delay in the use of Paromycin as a first line treatment for Visceral Leishmaniasis?,Summary
38,16,Why did the foundation's intervention focus on the delivery process rather than the product development process? How does this focus impact its strategy to address the suboptimal regulatory and policy processes? What is one way in which the foundation's strategy could be expanded?,Application
38,17,How did the establishment of the Delivery team surprise the company? What are some ways in which the Global Health Delivery Strategy team can contribute to the efforts to address delivery barriers in other product development activities?,Summary
38,18,Why would the Scoping team use a case study that shows the poor adoption of Paromycin as first line treatment for Visceral Leishmaniasis? Why is this important for the Global Health Delivery Strategy team?,Factual
38,19,What are some examples of ways in which management and technology innovations could further enhance the effectiveness of delivery platforms? What can be one way to encourage reciprocity and evaluation among regulatory agencies in specific regions?,Application
38,20,Why is it important for the Global Health Delivery Strategy team to consider these five sets of barriers to delivery as a whole rather than taking on only two or three of them? What are some other reasons that there should be a comprehensive approach in addressing the five delivery gaps?,Summary
